Letter,Spoken Form
a,air
b,bat
c,cap
d,drum
e,each
f,fine
g,gust
h,harp
i,ice
j,jury
k,kick
l,look
m,made
n,near
o,ox
p,pink
q,queen
r,red
s,sam
t,trap
u,urge
v,vest
w,whale
x,plex
y,yank
z,zip
